algorithm,graph_type,graph_size,n_edges,time_elapsed
Fibbo_Dijkstra,sparse,50,141,0.0003583309990062844
Fibbo_Dijkstra,sparse,50,141,0.00035765500069828704
Fibbo_Dijkstra,sparse,50,141,0.0003558589996828232
Fibbo_Dijkstra,sparse,50,141,0.0003621669966378249
Fibbo_Dijkstra,sparse,50,141,0.0003629079983511474
Fibbo_Dijkstra,sparse,50,141,0.00035943799957749434
Fibbo_Dijkstra,sparse,50,141,0.0003612120017351117
Fibbo_Dijkstra,sparse,50,141,0.00035634400046546943
BMSSP,sparse,50,141,0.00013308300185599364
BMSSP,sparse,50,141,0.00010350299999117851
BMSSP,sparse,50,141,9.863299783319235e-05
BMSSP,sparse,50,141,9.792499986360781e-05
BMSSP,sparse,50,141,9.797900202102028e-05
BMSSP,sparse,50,141,9.701000089989975e-05
BMSSP,sparse,50,141,9.544299973640591e-05
BMSSP,sparse,50,141,9.743700138642453e-05
BMSSP,sparse,50,141,9.535600111121312e-05
BMSSP,sparse,50,141,9.52360023802612e-05
BMSSP,sparse,50,141,9.458500062464736e-05
BMSSP,sparse,50,141,9.485899863648228e-05
BMSSP,sparse,50,141,9.422999937669374e-05
BMSSP,sparse,50,141,9.495199992670678e-05
BMSSP,sparse,50,141,9.578400204190984e-05
BMSSP,sparse,50,141,9.589099863660522e-05
BMSSP,sparse,50,141,9.423899973626249e-05
BMSSP,sparse,50,141,9.405099990544841e-05
BMSSP,sparse,50,141,9.424300151295029e-05
BMSSP,sparse,50,141,9.39820019993931e-05
BMSSP,sparse,50,141,9.348599996883422e-05
BMSSP,sparse,50,141,0.000197588000446558
BMSSP,sparse,50,141,9.617899922886863e-05
BMSSP,sparse,50,141,9.559799946146086e-05
BMSSP,sparse,50,141,9.528200098429807e-05
BMSSP,sparse,50,141,9.626199971535243e-05
BMSSP,sparse,50,141,9.535099889035337e-05
BMSSP,sparse,50,141,9.502100147074088e-05
BMSSP,sparse,50,141,0.00016324799798894674
BMSSP,sparse,50,141,0.00011324300066917203
BMSSP,sparse,50,141,0.00011270799950580113
BMSSP,sparse,50,141,0.00011212900062673725
BMSSP,sparse,50,141,0.00011028299923054874
BMSSP,sparse,50,141,0.0001094859981094487
BMSSP,sparse,50,141,0.00010919199849013239
BMSSP,sparse,50,141,0.00010917400140897371
BMSSP,sparse,50,141,0.00010309199933544733
BMSSP,sparse,50,141,0.00024790200041024946
BMSSP,sparse,50,141,0.0002464479985064827
BMSSP,sparse,50,141,0.00011344800077495165
BMSSP,sparse,50,141,0.00011440200250945054
BMSSP,sparse,50,141,0.0001105800001823809
BMSSP,sparse,50,141,0.00010954100071103312
BMSSP,sparse,50,141,0.00011016999997082166
BMSSP,sparse,50,141,0.00010991100134560838
BMSSP,sparse,50,141,0.00011093200009781867
BMSSP,sparse,50,141,0.00011482500121928751
BMSSP,sparse,50,141,0.00024504100292688236
BMSSP,sparse,50,141,0.00024568299704696983
BMSSP,sparse,50,141,0.00024539799778722227
Trad_Dijkstra,dense,50,732,0.00028669200037256815
Trad_Dijkstra,dense,50,732,0.0003053919972444419
Trad_Dijkstra,dense,50,732,0.00030007299938006327
Trad_Dijkstra,dense,50,732,0.0002957619981316384
Trad_Dijkstra,dense,50,732,0.0002978900010930374
Trad_Dijkstra,dense,50,732,0.00038846400275360793
Trad_Dijkstra,dense,50,732,0.0002967809996334836
Trad_Dijkstra,dense,50,732,0.0002942909995908849
Trad_Dijkstra,dense,50,732,0.00029700500090257265
Trad_Dijkstra,dense,50,732,0.00029337399973883294
Trad_Dijkstra,dense,50,732,0.000294893001409946
Trad_Dijkstra,dense,50,732,0.0005745909984398168
Trad_Dijkstra,dense,50,732,0.0003736100006790366
Trad_Dijkstra,dense,50,732,0.00046286399810924195
Trad_Dijkstra,dense,50,732,0.000297491998935584
Trad_Dijkstra,dense,50,732,0.00029219499992905185
Trad_Dijkstra,dense,50,732,0.00029631000143126585
Trad_Dijkstra,dense,50,732,0.0002946069980680477
Trad_Dijkstra,dense,50,732,0.0002950240013888106
Trad_Dijkstra,dense,50,732,0.0002944250009022653
Trad_Dijkstra,dense,50,732,0.00046856100016157143
Trad_Dijkstra,dense,50,732,0.0004685100029746536
Trad_Dijkstra,dense,50,732,0.00036808200093219057
Trad_Dijkstra,dense,50,732,0.0002979359996970743
Trad_Dijkstra,dense,50,732,0.0002990769971802365
Trad_Dijkstra,dense,50,732,0.0004713359994639177
Trad_Dijkstra,dense,50,732,0.000739415998395998
Trad_Dijkstra,dense,50,732,0.0008291750018543098
Trad_Dijkstra,dense,50,732,0.0004537759996310342
Trad_Dijkstra,dense,50,732,0.0002958859986392781
Trad_Dijkstra,dense,50,732,0.000295891997666331
Trad_Dijkstra,dense,50,732,0.00029542499760282226
Trad_Dijkstra,dense,50,732,0.0004533930004981812
Trad_Dijkstra,dense,50,732,0.0002932719980890397
Trad_Dijkstra,dense,50,732,0.0002970469977299217
Trad_Dijkstra,dense,50,732,0.00029363399880821817
Trad_Dijkstra,dense,50,732,0.00029468299908330664
Trad_Dijkstra,dense,50,732,0.000488746001792606
Trad_Dijkstra,dense,50,732,0.00029800400079693645
Trad_Dijkstra,dense,50,732,0.0002965889980259817
Trad_Dijkstra,dense,50,732,0.0002970319983433001
Trad_Dijkstra,dense,50,732,0.00029653300225618295
Trad_Dijkstra,dense,50,732,0.00044193599751451984
Trad_Dijkstra,dense,50,732,0.00029591299971798435
Trad_Dijkstra,dense,50,732,0.0002972430011141114
Trad_Dijkstra,dense,50,732,0.00029328499658731744
Trad_Dijkstra,dense,50,732,0.0005420289999165107
Trad_Dijkstra,dense,50,732,0.00029384600202320144
Trad_Dijkstra,dense,50,732,0.0002954379997390788
Trad_Dijkstra,dense,50,732,0.0002945630003523547
Fibbo_Dijkstra,dense,50,732,0.0004554579973046202
Fibbo_Dijkstra,dense,50,732,0.00042806100100278854
Fibbo_Dijkstra,dense,50,732,0.0004289349999453407
Fibbo_Dijkstra,dense,50,732,0.0004288559975975659
Fibbo_Dijkstra,dense,50,732,0.0004300189975765534
Fibbo_Dijkstra,dense,50,732,0.00042651300100260414
Fibbo_Dijkstra,dense,50,732,0.0004309169999032747
Fibbo_Dijkstra,dense,50,732,0.0004262990005372558
Fibbo_Dijkstra,dense,50,732,0.00042687200038926676
Fibbo_Dijkstra,dense,50,732,0.0004241380011080764
Fibbo_Dijkstra,dense,50,732,0.0010924099988187663
Fibbo_Dijkstra,dense,50,732,0.0005001919998903759
Fibbo_Dijkstra,dense,50,732,0.0005241399994702078
Fibbo_Dijkstra,dense,50,732,0.0004241129972797353
Fibbo_Dijkstra,dense,50,732,0.00042615699931047857
Fibbo_Dijkstra,dense,50,732,0.00042821099850698374
Fibbo_Dijkstra,dense,50,732,0.0004297639970900491
Fibbo_Dijkstra,dense,50,732,0.00042045499867526814
Fibbo_Dijkstra,dense,50,732,0.0004886930000793654
